address,lng,lat
"50 WEST MAIN ST., MERIDEN, CT, 06451",-72.803535,41.538208
"405 MAIN ST, MIDDLEFIELD, CT, 06455",-72.71229,41.515915
"222 MAIN STREET, MIDDLETOWN, CT, 06457",-72.64775,41.557465
"60 NORTH BOW STREET, MILFORD, MA, 01757",-71.51569,42.141617
"19 GARDEN STREET, MILFORD, NH, 03055",-71.65322,42.83381
"235 CUTLERS FARM ROAD, MONROE, CT, 06468",-73.234505,41.311848
"180 TURNPIKE ROAD, TURNERS FALLS, MA, 01376",-72.54847,42.588528
"9 RIVERSIDE ST, NASHUA, NH, 03062",-71.50165,42.746513
"20 EAST CENTRAL ST, NATICK, MA, 01760",-71.345276,42.28416
"1245 WORCESTER ST, NATICK, MA, 01760",-71.38382,42.29917
"99 SCHOOL ST, NEEDHAM, MA, 02492",-71.23613,42.278008
"116 OLD COACH ROAD, NEW BOSTON, NH, 03070",-71.70476,42.972992
"10 CHESTNUT STREET, NEW BRITAIN, CT, 06051",-72.78113,41.66573
"83 SOUTH PUTT CORNERS ROAD, NEW PALTZ, NY, 12561",-74.07357,41.7309
"5 MUNICIPAL PLAZASTATE ROUTE 146, CLIFTON PARK, NY, 12065",,
"7140 REPUBLIC AIRPORT, FARMINGDALE, NY, 11735",-73.41781,40.720837
"1485 STATE ROUTE 9, CASTLETON, NY, 12033",,
"302 BALL POND ROAD, NEW FAIRFIELD, CT, 06812",-73.49646,41.466892
"1321 WASHINGTON ST., WEST NEWTON, MA, 02465",-71.228096,42.34901
"200 BOYLSTON STREET, CHESTNUT HILL, MA, 02467",,
"102 SOUTH WASHINGTON STREET, NORTH ATTLEBORO, MA, 02760",-71.333664,41.97933
"4233 KENNEDY BLVD., NORTH BERGEN, NJ, 07047",,
"15 BEDFORD ROAD, ARMONK, NY, 10504",-73.700264,41.12493
"133 BLOOMING GROVE DRIVE, TROY, NY, 12180",,
"11 BROADWAY, NORTH HAVEN, CT, 06473",-72.862946,41.388813
"1967 MINERAL SPRING AVENUE, NORTH PROVIDENCE, RI, 02904",,
"270 PARK AVENUE, HUNTINGTON, NY, 11743",-73.41748,40.879158
"300 COMMUNITY DRIVE, MANHASSET, NY, 11030",-73.70304,40.77615
"100 BRIDGE RD, FLORENCE, MA, 01062",-72.67611,42.34413
"211 MAIN STREET, NORTHBOROUGH, MA, 01532",-71.624275,42.326576
"9102 SHOPS WAY, NORTHBOROUGH, MA, 01532",,
"1 HOPE STREET, WHITINSVILLE, MA, 01588",-71.6456,42.12909
"79 MIDDLEVILLE ROAD, NORTHPORT, NY, 11768",,
"116 PARIS AVE., NORTHVALE, NJ, 07647",-73.951805,41.007717
"301 EAST MAIN STREET, BAY SHORE, NY, 11706",,
"70 THAMES STREET, NORWICH, CT, 06360",,
"137 NAHATAN STREET, NORWOOD, MA, 02062",-71.20047,42.19491
"453 BROADWAY, NORWOOD, NJ, 07648",-73.951546,40.99458
"WEST 116TH STREET AND BROADWAY, NEW YORK, NY, 10027",,
"650 W 168 ST., NEW YORK, NY, 10032",-73.94051,40.841393
"279 BOSTON POST ROAD, ORANGE, CT, 06477",,
"14 CENTRAL SQUARE, TROY, NH, 03465",-72.18338,42.826176
"429 OXFORD ROAD, OXFORD, CT, 06478",,
"1670 NORTH HEMPSTEAD TURNPIKE, SYOSSET, NY, 11791",,
"15 NORTH GRANBY ROAD, GRANBY, CT, 06035",,
"1300 ROANOKE AVENUE, RIVERHEAD, NY, 11901",,
"2 SOUTH VALLEY RD, PELHAM, MA, 01002",-72.4695,42.37824
"59 MAIN STREET, PEPPERELL, MA, 01463",-71.585236,42.665848
"73 GROVE ST, PETERBOROUGH, NH, 03458",-71.95026,42.87277
"39 ALLEN STREET, PITTSFIELD, MA, 01201",-73.25235,42.449562
"157 SOUTH STREET, PLAINVILLE, MA, 02762",-71.33729,42.007027
"500 PORT WASHINGTON BLVD, PORT WASHINGTON, NY, 11050",-73.681526,40.822567
