name,CollectionSite,Address 1,City,state,postal,googleMapsUrl,address,source,source_date
DAMARISCOTTA POLICE DEPARTMENT,MILES MEMORIAL HOSPITAL FRONT WAITING ROOM MAIN ENTRANCE,35 MILES STREET,DAMARISCOTTA,ME,4543,"http://maps.google.com/maps?q=35 MILES STREET,+DAMARISCOTTA,+ME+04543&hl=en","35 MILES STREET, DAMARISCOTTA, ME 04543",DEA,NTBD_2018_OCT
FREEPORT POLICE DEPARTMENT,FREEPORT POLICE DEPARTMENT,16 MAIN STREET,FREEPORT,ME,4032,"http://maps.google.com/maps?q=16 MAIN STREET,+FREEPORT,+ME+04032&hl=en","16 MAIN STREET, FREEPORT, ME 04032",DEA,NTBD_2018_OCT
GARDINER POLICE DEPARTMENT,GARDINER POLICE DEPARTMENT,6 CHURCH STREET,GARDINER,ME,4345,"http://maps.google.com/maps?q=6 CHURCH STREET,+GARDINER,+ME+04345&hl=en","6 CHURCH STREET, GARDINER, ME 04345",DEA,NTBD_2018_OCT
KENNEBEC COUNTY SHERIFF'S OFFICE,CHINA TRANSFER STATION OPERATED BY KENNEBEC COUNTY SHERIFF'S OFFICE,191 ALDER PARK ROAD,SOUTH CHINA,ME,4358,"http://maps.google.com/maps?q=191 ALDER PARK ROAD,+SOUTH CHINA,+ME+04358&hl=en","191 ALDER PARK ROAD, SOUTH CHINA, ME 04358",DEA,NTBD_2018_OCT
KNOX COUNTY SHERIFF'S OFFICE,UNION FIRE DEPARTMENT OPERATED BY KNOX COUNTY SHERIFF'S OFFICE,567 COMMON RD,UNION,ME,4862,"http://maps.google.com/maps?q=567 COMMON RD,+UNION,+ME+04862&hl=en","567 COMMON RD, UNION, ME 04862",DEA,NTBD_2018_OCT
KNOX COUNTY SHERIFF'S OFFICE,VINALHAVEN FIRE DEPARTMENT 207- 863-4604 OPERATED BY KNOX COUNTY SHERIFF'S OFFICE,56 WEST MAIN ST,VINALHAVEN,ME,4863,"http://maps.google.com/maps?q=56 WEST MAIN ST,+VINALHAVEN,+ME+04863&hl=en","56 WEST MAIN ST, VINALHAVEN, ME 04863",DEA,NTBD_2018_OCT
KNOX COUNTY SHERIFF'S OFFICE,WARREN FIRE DEPARTMENT OPERATED BY KNOX COUNTY SHERIFF'S OFFICE,167 WESTERN ROAD,WARREN,ME,4864,"http://maps.google.com/maps?q=167 WESTERN ROAD,+WARREN,+ME+04864&hl=en","167 WESTERN ROAD, WARREN, ME 04864",DEA,NTBD_2018_OCT
LINCOLN COUNTY SHERIFF'S DEPARTMENT,BOOTHBAY HARBOR FIRE EMS OPERATED BY LINCOLN COUNTY SHERIFFS OFFICE/BOOTHBAY HARB PD,11 HOWARD ST,BOOTHBAY HARBOR,ME,4538,"http://maps.google.com/maps?q=11 HOWARD ST,+BOOTHBAY HARBOR,+ME+04538&hl=en","11 HOWARD ST, BOOTHBAY HARBOR, ME 04538",DEA,NTBD_2018_OCT
LINCOLN COUNTY SHERIFF'S DEPARTMENT,LINCOLN HEALTH MILES CAMPUS OPERATED BY LINCOLN COUNTY SHERIFFS OFFICE & DAMARISCOTTA PD,35 MILES ST,DAMARISCOTTA,ME,4543,"http://maps.google.com/maps?q=35 MILES ST,+DAMARISCOTTA,+ME+04543&hl=en","35 MILES ST, DAMARISCOTTA, ME 04543",DEA,NTBD_2018_OCT
LINCOLN COUNTY SHERIFF'S DEPARTMENT,SHEEPSCOT VALLEY HEALTH CENTER OPERATED BY LINCOLN COUNTY SHERIFF'S OFFICE,47 MAIN ST,COOPERS MILLS,ME,4341,"http://maps.google.com/maps?q=47 MAIN ST,+COOPERS MILLS,+ME+04341&hl=en","47 MAIN ST, COOPERS MILLS, ME 04341",DEA,NTBD_2018_OCT
NEWPORT POLICE DEPARTMENT,NEWPORT POLICE DEPARTMENT,21 WATER STREET,NEWPORT,ME,4953,"http://maps.google.com/maps?q=21 WATER STREET,+NEWPORT,+ME+04953&hl=en","21 WATER STREET, NEWPORT, ME 04953",DEA,NTBD_2018_OCT
PHIPPSBURG POLICE DEPARTMENT,PHIPPSBURG POLICE DEPARTMENT SUPPORTED BY SAGADAHOC COUNTY SHERIFF'S OFFICE,1042 MAIN STREET,PHIPPSBURG,ME,4562,"http://maps.google.com/maps?q=1042 MAIN STREET,+PHIPPSBURG,+ME+04562&hl=en","1042 MAIN STREET, PHIPPSBURG, ME 04562",DEA,NTBD_2018_OCT
PORTLAND POLICE DEPARTMENT,BACK BAY PARKING LOT - ACROSS FROM HANNAFORDS OPERATED BY PORTLAND PD,295 FOREST AVENUE,PORTLAND,ME,4101,"http://maps.google.com/maps?q=295 FOREST AVENUE,+PORTLAND,+ME+04101&hl=en","295 FOREST AVENUE, PORTLAND, ME 04101",DEA,NTBD_2018_OCT
PORTLAND POLICE DEPARTMENT,WALGREENS PHARMACY (PARKING LOT) OPERATED BY PORTLAND PD,616 FOREST AVENUE,PORTLAND,ME,4101,"http://maps.google.com/maps?q=616 FOREST AVENUE,+PORTLAND,+ME+04101&hl=en","616 FOREST AVENUE, PORTLAND, ME 04101",DEA,NTBD_2018_OCT
PORTLAND POLICE DEPARTMENT,WALGREENS PHARMACY PARKING LOT - OPERATED BY PORTLAND PD,340 ALLEN AVENUE,PORTLAND,ME,4101,"http://maps.google.com/maps?q=340 ALLEN AVENUE,+PORTLAND,+ME+04101&hl=en","340 ALLEN AVENUE, PORTLAND, ME 04101",DEA,NTBD_2018_OCT
RICHMOND POLICE DEPARTMENT,RICHMOND SENIOR CENTER OPERATED BY RICHMOND PD,314 FRONT STREET,RICHMOND,ME,4357,"http://maps.google.com/maps?q=314 FRONT STREET,+RICHMOND,+ME+04357&hl=en","314 FRONT STREET, RICHMOND, ME 04357",DEA,NTBD_2018_OCT
ROCKLAND POLICE DEPARTMENT,ROCKLAND POLICE DEPARTMENT,1 POLICE PLAZA,ROCKLAND,ME,4841,"http://maps.google.com/maps?q=1 POLICE PLAZA,+ROCKLAND,+ME+04841&hl=en","1 POLICE PLAZA, ROCKLAND, ME 04841",DEA,NTBD_2018_OCT
SAGADAHOC COUNTY SHERIFF'S OFFICE,GEORGETOWN FIRE DEPARTMENT,777 FIVE ISLANDS ROAD,GEORGETOWN,ME,4548,"http://maps.google.com/maps?q=777 FIVE ISLANDS ROAD,+GEORGETOWN,+ME+04548&hl=en","777 FIVE ISLANDS ROAD, GEORGETOWN, ME 04548",DEA,NTBD_2018_OCT
