Unnamed: 0,address,postal,state,lat,lng
3781, 3917 SPRING GROVE AVE,45223,OH,39.1574806,-84.5428803
3783, 706 CASTLE HILL AVENUE,10473,NY,40.8210569,-73.8503274
3784, 460 ANDES ROAD,13753,NY,42.2682553,-74.9188642
3792,17 WILLIAM H. TAFT RD.,45219,OH,39.1276254,-84.5130479
3797,22001 LAKESHORE BLVD,44123,OH,41.609104,-81.52773
3814,101 E EXPRESSWAY 83 STE D,78577,TX,26.1980485,-98.1918286
3815,104 WHISPERING PINES DRIVE SUITE 105,95066,CA,37.04245,-122.02733
3819, SUITE 104,14626,NY,43.19537,-77.70144
3820, SUITE 5,70815,LA,30.45529,-91.08101
3821,13322 PACIFIC AVE SO,98444,WA,47.136116,-122.43463
3822, PO BOX 1225,84761,UT,37.842636,-112.82762
3826, PO BOX 960,98337,WA,47.567314,-122.62826
3827, SUITE 205,98370,WA,47.74356,-122.64003
3829, GROUND FLOOR,19104,PA,39.95652,-75.19683
3830,1865 ROUTE 70 EAST,8003,NJ,39.9036129,-74.9742809
3833,105 S. SPORTING HILL RD.,17050,PA,40.236958,-76.97208
3835,1740 WASHINGTON RD,15241,PA,40.347874,-80.05331
3836,1901 WEST OREGON AVENUE,19145,PA,39.917927,-75.17941
3837,204 EAST SECOND STREET,16301,PA,41.42806,-79.70809
3840,3298 EDGEMONT AVE.,19015,PA,39.86925,-75.38227
3849, 425 NIAGARA ST,14201,NY,42.895832,-78.8863333
3851, SE,52240,IA,41.67337,-91.45514
3852,3750 CHEMAWA ROAD N.E.,97305,OR,45.004505,-122.982124
3857,385 A/B SECOND AVE,10010,NY,40.73753,-73.9835777
3858, SUITE 373,77027,TX,29.728039,-95.444293
3859," HWY 544, SUITE 2",29588,SC,33.65054,-78.981735
3861, SUITE 820,74103,OK,36.152916,-95.992546
3862, 87-08 JUSTICE AVENUE,11373,NY,40.7372311,-73.8785414
3863, PO BOX 499,57469,SD,44.871513,-98.52003
3864, RED CROSS UNITED DRUG INC,97850,OR,45.329094,-118.095245
3866, 640 JACKSON STREET,55101,MN,44.9558263,-93.0966852
3872, MEADOWBROOK PLAZA,2889,RI,41.70946,-71.39796
3881, ROOM 1-501,23601,VA,37.064995,-76.48465
3882, P.O. BOX 275,12723,NY,41.7662732,-75.0603469
3884,4481 LAKESHORE RD.,14075,NY,42.762367,-78.879166
3887, 711 E MARKET STREET,95202,CA,37.95331,-121.2836197
3890, PO BOX 608,46173,IN,39.621357,-85.444756
3891, SUITE 105,13021,NY,42.929626,-76.570435
3892, STE #4,98391,WA,47.167879,-122.1441427
3893,68-50 MAIN STREET,11367,NY,40.73204,-73.8246
3899, P.O. BOX 103,16154,PA,41.336964,-80.412
3900, STE 120,98284,WA,48.49516,-122.27499
3901,220 FALCON PARKWAY,80912,CO,38.8086576,-104.5291601
3902, STE 1665,80218,CO,39.7465616,-104.972592
3904,1106 AVENUE K 1ST FLOOR,11230,NY,40.622383,-73.964584
3905, SUITE 102,16146,PA,41.23373,-80.50796
3906,5168 HONPIE RD,95667,CA,38.696655,-120.90781
3913,2446 HUDSON RD,29650,SC,34.894264,-82.290085
3915,27 US HIGHWAY 321 BYPASS S,29180,SC,34.3708938,-81.1011737
3917,3210 E PALMETTO ST,29506,SC,34.1954727,-79.7051806
3919,4711-5 FOREST DRIVE,29206,SC,34.019924,-80.97085
3923,901 MARKET ST.,29520,SC,34.690067,-79.89737
3924, STE D2,98387,WA,47.096226,-122.43494
3925,153-W COMMERICAL ST,14445,NY,43.113531,-77.4893651
3926,109 W MAIN STREET,28160,NC,35.357426,-81.930916
3929, P.O. BOX 1628,81502,CO,39.0903724,-108.5648962
3930, OUTPATIENT PHARMACY,83687,ID,43.616837,-116.59154
3932,2001 WEST 86TH STREET,46260,IN,39.912064,-86.1936
3933, P O BOX 1057,84725,UT,37.573597,-113.71761
3936, 2130 STOUT ST,80205,CO,39.7512323,-104.9891272
3937, SUITE 100,14304,NY,43.092625,-78.906746
3939, 3186 SOUTH MARYLAND PKWY,89109,NV,36.1339924,-115.136671
3942,3659 LEE ROAD,10535,NY,41.33287,-73.80974
3946,116 COMMONS DR.,38237,TN,36.34246,-88.87322
3952,2424 OCOEE ST.,37311,TN,35.17816,-84.86504
